"NSS 2023 results for students taught at this provider split by mode, level and subject ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Q19: How well have the IT resources and facilities supported your learning?,203,284.5,,65,111.5,23,3.5,,10,86.9,82,4.9,2.5,4.1,0.1,16.2,83.7,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",211.5,284.5,,119,80.5,11.5,0.5,,1.5,94.3,92.6,1.7,1.7,4,0.7,67.6,31.7,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",196,284.5,,77.5,99,18.5,1,,17,90.1,87.3,2.7,2.2,4,0.9,44.8,54.3,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Q22: To what extent do you get the right opportunities to give feedback on your course?,212,284.5,,79.5,90.5,39,3,,1,80.2,81.7,-1.5,2.6,4,34.9,58.7,6.4,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Q23: To what extent are students' opinions about the course valued by staff?,210,284.5,,66.5,107,33.5,3,,3,82.6,78,4.6,2.7,4,0.4,20.7,78.9,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Q24: How clear is it that students' feedback on the course is acted on?,206,284.5,,23.5,86.5,82.5,13.5,,7,53.4,55.9,-2.5,3.4,4,50.4,42.9,6.7,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Q25: How well does the students' union (association or guild) represent students' academic interests?,192.5,284.5,,19.5,107,56.5,9.5,,20.5,65.7,67.9,-2.2,3.3,4.2,46.1,46.3,7.6,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Q26: How well communicated was information about your university/college's mental wellbeing support services?,212.5,284.5,,35,90,71.5,16,,0.5,58.8,67.2,-8.3,3.2,4.1,96.6,3.3,0,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",213,284.5,,83,104,19,7,,0,87.8,89.2,-1.4,2.1,4.9,30.1,66.6,3.4,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 1: Teaching on my course,214.5,284.5,,,,,,,,93.1,90.1,3,1.8,4,0.2,40.1,59.7,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 2: Learning opportunities,214.5,284.5,,,,,,,,80.1,81.8,-1.6,2.6,4,36.6,57.7,5.6,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 3: Assessment and feedback,214.5,284.5,,,,,,,,81.8,79.5,2.3,2.6,4,3.3,50.1,46.7,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 4: Academic support,214.5,284.5,,,,,,,,89.7,88.3,1.4,2.1,4,2.7,66.9,30.4,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 5: Organisation and management,214.5,284.5,,,,,,,,83.8,77.4,6.4,2.6,4,0,6.4,93.5,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 6: Learning resources,213,284.5,,,,,,,,90.7,87.3,3.3,2.1,4,0.3,34.1,65.6,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-01,English studies (non-specific),Theme 7: Student voice,213,284.5,,,,,,,,72.2,71.9,0.3,3,4,17.4,59.5,23.1,260,75.4
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q01: How good are teaching staff at explaining things?,9,12.5,,3.5,5.5,0,0,,0,100,95,5,6.2,4,11.5,23.1,65.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q02: How often do teaching staff make the subject engaging?,9,12.5,,2,6.5,0.5,0,,0,94.4,89.6,4.9,9.1,4,21,18.8,60.2,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q03: How often is the course intellectually stimulating?,9,12.5,,2.5,6.5,0,0,,0,100,90,10,9,4,8.2,12,79.8,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q04: How often does your course challenge you to achieve your best work?,9,12.5,,1,6.5,1.5,0,,0,83.3,84.2,-0.8,11.3,4,44.1,17.5,38.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,9,12.5,,2.5,6,0.5,0,,0,94.4,87.7,6.7,10.8,4,19.7,15.1,65.2,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,9,12.5,,1.5,6,1.5,0,,0,83.3,85.5,-2.2,11.5,4,48.8,17,34.2,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,9,12.5,,3.5,4,1.5,0,,0,83.3,84.9,-1.6,11.3,4,46.9,17.3,35.9,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q08: To what extent does your course have the right balance of directed and independent study?,9,12.5,,2.5,3.5,3,0,,0,66.7,71.6,-4.9,15.1,4,56.3,12.4,31.2,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,9,12.5,,1,5,2,1,,0,66.7,77.8,-11.2,14.1,4,73.1,10.3,16.6,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q10: How clear were the marking criteria used to assess your work?,9,12.5,,1.5,4.5,3,0,,0,66.7,72.6,-5.9,14.6,4,59.2,12.6,28.3,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q11: How fair has the marking and assessment been on your course?,9,12.5,,0.5,7.5,1,0,,0,88.9,84.6,4.3,11,4,26.9,16.6,56.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q12: How well have assessments allowed you to demonstrate what you have learned?,9,12.5,,1,7.5,0.5,0,,0,94.4,83.6,10.8,11.1,4,11.5,11.2,77.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q13: How often have you received assessment feedback on time?,9,12.5,,3,5.5,0.5,0,,0,94.4,80.5,14,11.6,4,7.8,8.3,83.9,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q14: How often does feedback help you to improve your work?,9,12.5,,0.5,7.5,1,0,,0,88.9,76.5,12.4,13.9,4,14.2,9.6,76.2,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q15: How easy was it to contact teaching staff when you needed to?,9,12.5,,3,5.5,0.5,0,,0,94.4,88.8,5.6,10.6,4,22.1,16.3,61.6,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q16: How well have teaching staff supported your learning?,9,12.5,,2,6,1,0,,0,88.9,88.8,0.1,10.5,4,40.1,18.9,41,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q17: How well organised is your course?,9,12.5,,1.5,6.5,1,0,,0,88.9,77.8,11,11.9,4,12.7,10.9,76.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q18: How well were any changes to teaching on your course communicated?,9,12.5,,2,4.5,2.5,0,,0,72.2,75.6,-3.3,13.6,3.8,52.5,14.2,33.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q19: How well have the IT resources and facilities supported your learning?,9,12.5,,1.5,5.5,2,0,,0,77.8,82.5,-4.7,12,4.1,57.2,15.3,27.5,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",9,12.5,,3,5,0.5,0.5,,0,88.9,92.7,-3.9,8.3,4,56.5,21.4,22.2,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",8,12.5,,2.5,5,0.5,0,,1,93.8,87.5,6.2,10.7,4,20.7,15.7,63.6,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q22: To what extent do you get the right opportunities to give feedback on your course?,9,12.5,,1.5,5,2.5,0,,0,72.2,81.8,-9.6,13,4,70.9,11.7,17.5,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q23: To what extent are students' opinions about the course valued by staff?,9,12.5,,2,4,2.5,0.5,,0,66.7,78.2,-11.5,13.6,4,74.7,10.2,15,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q24: How clear is it that students' feedback on the course is acted on?,9,12.5,,1,3.5,3,1.5,,0,50,57.7,-7.7,16.2,4,62.6,11,26.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q25: How well does the students' union (association or guild) represent students' academic interests?,9,12.5,,0.5,4.5,3,1,,0,55.6,66.4,-10.9,15.4,4.2,70.6,10.1,19.3,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Q26: How well communicated was information about your university/college's mental wellbeing support services?,9,12.5,,1.5,4,2.5,1,,0,61.1,68.5,-7.4,15.4,4.1,62.5,11.5,26.1,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",9,12.5,,2,6,1,0,,0,88.9,89.2,-0.3,10.5,4.9,41.8,18.7,39.4,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 1: Teaching on my course,9,12.5,,,,,,,,94.4,89.7,4.7,9.2,4,21.5,18.8,59.7,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 2: Learning opportunities,9,12.5,,,,,,,,78.9,81.5,-2.6,13.2,4,50.3,14.8,34.9,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 3: Assessment and feedback,9,12.5,,,,,,,,86.7,79.5,7.2,12.9,4,22.8,13.2,64.1,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 4: Academic support,9,12.5,,,,,,,,91.7,88.8,2.9,10.7,4,30.7,17.8,51.5,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 5: Organisation and management,9,12.5,,,,,,,,80.6,76.9,3.7,12.9,4,31.6,14.8,53.7,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 6: Learning resources,9,12.5,,,,,,,,85.2,87.6,-2.4,10.5,4,49.7,18.3,32.1,18,72
All modes,All undergraduates,CAH3,CAH19-01-05,Creative writing,Theme 7: Student voice,9,12.5,,,,,,,,63,72.6,-9.6,15,4,68.2,10.8,20.9,18,72
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q01: How good are teaching staff at explaining things?,138.5,178.5,,51.5,80.5,5.5,1,,0,95.3,93.6,1.7,1.8,8,1,65.1,34,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q02: How often do teaching staff make the subject engaging?,138.5,178.5,,39.5,85,11,3,,0,89.9,87.6,2.3,2.6,8,3,49.7,47.2,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q03: How often is the course intellectually stimulating?,138.5,178.5,,73,55.5,7,3,,0,92.8,89.1,3.7,2.3,8,0.4,29.9,69.7,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q04: How often does your course challenge you to achieve your best work?,138.5,178.5,,58,60.5,15,5,,0,85.6,84.2,1.4,2.9,8,9.1,55.5,35.4,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,138.5,178.5,,50.5,69.5,17.5,1,,0,86.6,86.9,-0.3,2.8,8,21.2,62.6,16.2,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,138.5,178.5,,47.5,67.5,20.5,3,,0,83,83.9,-0.9,3,8,29.2,57.6,13.3,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,137,178.5,,44,65,26,2,,1.5,79.6,81.7,-2.1,3.2,8,45.4,47.1,7.6,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q08: To what extent does your course have the right balance of directed and independent study?,138.5,178.5,,48,61,24,5.5,,0,78.7,74.8,3.9,3.4,8,3.1,31.2,65.7,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,138,178.5,,35.5,67,28,7.5,,0.5,74.3,77.5,-3.3,3.5,8,58.7,36.4,4.9,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q10: How clear were the marking criteria used to assess your work?,138.5,178.5,,34.5,73.5,26.5,4,,0,78,74.8,3.2,3.4,8,4.9,37.1,58,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q11: How fair has the marking and assessment been on your course?,137.5,178.5,,29,85,19.5,4,,1,82.9,80.3,2.7,3.1,8,5,43,52,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q12: How well have assessments allowed you to demonstrate what you have learned?,138.5,178.5,,33.5,69.5,31.5,4,,0,74.4,78.7,-4.3,3.4,8,70.4,27.3,2.3,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q13: How often have you received assessment feedback on time?,137.5,178.5,,47,69,18.5,3,,1,84.4,76.2,8.1,3.2,8,0.1,4.1,95.9,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q14: How often does feedback help you to improve your work?,137.5,178.5,,38,72,22.5,5,,1,80,75.5,4.5,3.4,8,2.1,26.3,71.6,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q15: How easy was it to contact teaching staff when you needed to?,138.5,178.5,,64,65.5,8,1,,0,93.5,90.2,3.3,2.2,8,0.4,35.9,63.7,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q16: How well have teaching staff supported your learning?,138.5,178.5,,47.5,82.5,6,2.5,,0,93.9,86.4,7.4,2.4,8,0,2,98,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q17: How well organised is your course?,138.5,178.5,,24,81,29,4.5,,0,75.8,69.2,6.6,3.5,8.1,0.5,11.8,87.7,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q18: How well were any changes to teaching on your course communicated?,133.5,178.5,,32.5,76.5,21.5,3,,5,81.6,72.7,8.9,3.4,8.2,0,2.8,97.1,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q19: How well have the IT resources and facilities supported your learning?,132,178.5,,36,76.5,15.5,4,,6.5,85.2,82.5,2.7,3,8,4,43.5,52.4,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",134.5,178.5,,62.5,59.5,8.5,4,,3,90.7,91.7,-1,2.3,8,25.9,67.7,6.3,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",128.5,178.5,,45.5,68.5,12.5,2,,9,88.7,88.2,0.6,2.7,7.9,12.7,63.7,23.5,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q22: To what extent do you get the right opportunities to give feedback on your course?,136.5,178.5,,56,58,21,1.5,,1,83.5,78.9,4.6,3.2,8,1.3,24.3,74.5,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q23: To what extent are students' opinions about the course valued by staff?,136,178.5,,41,59,28,8,,1.5,73.5,73.1,0.4,3.6,8,20.6,50.9,28.4,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q24: How clear is it that students' feedback on the course is acted on?,133.5,178.5,,24.5,49.5,51,8.5,,4,55.4,52.9,2.5,4.1,8.1,11,39.1,49.9,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q25: How well does the students' union (association or guild) represent students' academic interests?,124,178.5,,31.5,67.5,20,5,,13.5,79.8,68.1,11.7,3.7,8.8,0,0.6,99.4,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Q26: How well communicated was information about your university/college's mental wellbeing support services?,132,178.5,,31.5,59,34,7.5,,5.5,68.6,71.8,-3.2,3.8,7.5,57.6,35.9,6.4,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",136.5,178.5,,52,70.5,10,4,,1,89.7,88.9,0.9,2.5,10.3,9.3,64.7,26,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 1: Teaching on my course,138.5,178.5,,,,,,,,90.9,88.6,2.3,2.5,8,2.7,50.7,46.6,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 2: Learning opportunities,138.5,178.5,,,,,,,,80.4,81,-0.5,3.2,8,27.1,55.5,17.4,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 3: Assessment and feedback,138.5,178.5,,,,,,,,79.7,77.1,2.6,3.4,8,6.3,42.1,51.6,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 4: Academic support,138.5,178.5,,,,,,,,93.7,88.3,5.4,2.3,8,0,10.7,89.2,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 5: Organisation and management,138.5,178.5,,,,,,,,78.3,70.7,7.6,3.5,8,0.2,6.7,93.1,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 6: Learning resources,138.5,178.5,,,,,,,,88.3,87.6,0.6,2.6,8,11.6,64.8,23.6,162,77.6
All modes,All undergraduates,CAH2,CAH19-04,Languages and area studies,Theme 7: Student voice,137.5,178.5,,,,,,,,71.2,68.4,2.8,3.7,8,7.6,38.9,53.5,162,77.6
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q01: How good are teaching staff at explaining things?,14,16,,6.5,6.5,1,0,,0,92.9,88.9,4,5.2,32,10.4,28.2,61.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q02: How often do teaching staff make the subject engaging?,14,16,,8,5,1,0,,0,92.9,84.9,8,6.9,32,6.4,14.9,78.7,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q03: How often is the course intellectually stimulating?,14,16,,10.5,3.5,0,0,,0,100,88.5,11.5,6.5,32,1.5,6.7,91.8,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q04: How often does your course challenge you to achieve your best work?,14,16,,8.5,4.5,0,1,,0,92.9,87.4,5.5,7.9,32,15.5,19.7,64.8,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,14,16,,7.5,5.5,1,0,,0,92.9,90.1,2.8,7.3,32,23.6,24.9,51.5,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,14,16,,7,5,2,0,,0,85.7,86.7,-1,8.1,32,42.8,24.1,33.1,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,14,16,,6,8,0,0,,0,100,81.6,18.4,8.4,32,0.6,2.3,97.1,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q08: To what extent does your course have the right balance of directed and independent study?,14,16,,5.5,5.5,2,1,,0,78.6,79.2,-0.7,9.3,32,42.2,21.2,36.6,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,14,16,,5,6,2,1,,0,78.6,81.3,-2.7,9.2,32,50.8,20.4,28.7,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q10: How clear were the marking criteria used to assess your work?,14,16,,3,10,0,1,,0,92.9,78.5,14.4,9.1,32,3.2,6.4,90.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q11: How fair has the marking and assessment been on your course?,14,16,,3,10,0,1,,0,92.9,81.2,11.7,8.2,32,4.2,9,86.8,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q12: How well have assessments allowed you to demonstrate what you have learned?,14,16,,3,6,5,0,,0,64.3,79.5,-15.2,9,32,92,5.5,2.5,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q13: How often have you received assessment feedback on time?,14,16,,3.5,9,1.5,0,,0,89.3,81.4,7.9,8.3,32,10.4,15.2,74.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q14: How often does feedback help you to improve your work?,14,16,,2.5,9,1.5,1,,0,82.1,81.6,0.6,8.9,32,36.4,22.2,41.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q15: How easy was it to contact teaching staff when you needed to?,14,16,,7,6,0,1,,0,92.9,89.5,3.4,5.5,32,14.4,29.2,56.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q16: How well have teaching staff supported your learning?,14,16,,7.5,5.5,0,1,,0,92.9,85.8,7.1,6.8,32,8,17.1,74.9,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q17: How well organised is your course?,14,16,,3,7,3,1,,0,71.4,60.8,10.7,9.3,32.9,7.8,11.2,81,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q18: How well were any changes to teaching on your course communicated?,14,16,,5.5,5,2.5,1,,0,75,65.8,9.2,8.6,32.9,8.6,13.1,78.3,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q19: How well have the IT resources and facilities supported your learning?,13,16,,2.5,5.5,4,1,,1,61.5,74.3,-12.8,8.2,29.9,89.6,7.4,3.1,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",13,16,,4.5,6.5,1,1,,0,84.6,87.9,-3.2,6.7,34.4,54.4,26.1,19.5,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",12,16,,3.5,7,0.5,1,,1,87.5,84.3,3.2,7.1,31.6,20.8,25,54.2,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q22: To what extent do you get the right opportunities to give feedback on your course?,13,16,,3.5,7.5,2,0,,0,84.6,76.9,7.7,8.9,34.4,12.6,15.3,72.1,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q23: To what extent are students' opinions about the course valued by staff?,12,16,,6,5,0,1,,1,91.7,74.5,17.2,9.4,37.2,1.8,4.1,94.1,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q24: How clear is it that students' feedback on the course is acted on?,12,16,,4,5,2,1,,1,75,61.1,13.9,10.7,37.2,6.2,8.1,85.7,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q25: How well does the students' union (association or guild) represent students' academic interests?,10.5,16,,2,3.5,5,0,,2.5,52.4,61.7,-9.4,10.3,40.9,74.8,12.8,12.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Q26: How well communicated was information about your university/college's mental wellbeing support services?,11,16,,3,6,1,1,,2,81.8,74.1,7.7,10.8,31.5,17.3,14.3,68.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",13,16,,6,7,0,0,,0,100,94.6,5.4,6.7,45.4,12,21.3,66.7,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 1: Teaching on my course,14,16,,,,,,,,94.6,87.4,7.2,6.8,32,7.7,16.7,75.6,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 2: Learning opportunities,14,16,,,,,,,,87.1,83.8,3.3,8.8,32,25.3,20.9,53.8,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 3: Assessment and feedback,14,16,,,,,,,,84.3,80.4,3.9,8.9,32,23.6,20.3,56.1,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 4: Academic support,14,16,,,,,,,,92.9,87.6,5.3,6.3,32,11,22.2,66.9,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 5: Organisation and management,14,16,,,,,,,,73.2,62.5,10.7,9.1,32,7.4,11.1,81.5,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 6: Learning resources,14,16,,,,,,,,79.8,83.1,-3.3,7.1,32,54.7,24.6,20.7,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-07,African and modern Middle Eastern studies,Theme 7: Student voice,13,16,,,,,,,,84.6,70.6,14,10.1,34.4,5,7.6,87.4,16,87.5
All modes,All undergraduates,CAH3,CAH19-04-09,Others in language and area studies,Q01: How good are teaching staff at explaining things?,124.5,162.5,,45,74,4.5,1,,0,95.6,94.1,1.5,1.9,8,2,67.8,30.2,150,76.6
All modes,All undergraduates,CAH3,CAH19-04-09,Others in language and area studies,Q02: How often do teaching staff make the subject engaging?,124.5,162.5,,31.5,80,10,3,,0,89.6,87.9,1.7,2.8,8,6.5,55.2,38.4,150,76.6
All modes,All undergraduates,CAH3,CAH19-04-09,Others in language and area studies,Q03: How often is the course intellectually stimulating?,124.5,162.5,,62.5,52,7,3,,0,92,89.1,2.8,2.5,8,1.7,43.1,55.2,150,76.6
All modes,All undergraduates,CAH3,CAH19-04-09,Others in language and area studies,Q04: How often does your course challenge you to achieve your best work?,124.5,162.5,,49.5,56,15,4,,0,84.7,83.8,0.9,3.1,8,13.6,55.3,31,150,76.6
All modes,All undergraduates,CAH3,CAH19-04-09,Others in language and area studies,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,124.5,162.5,,43,64,16.5,1,,0,85.9,86.5,-0.6,3,8,26.4,58.5,15.1,150,76.6
