"NSS 2023 results for students taught at this provider split by mode, level and subject ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",116,160,,40,59,14,3,,2,85.3,76.8,8.5,3.4,3.6,0.1,3.7,96.3,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 1: Teaching on my course,119,160,,,,,,,,87.8,85.9,2,3,3.6,6.9,50.3,42.8,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 2: Learning opportunities,119,160,,,,,,,,83.2,80.9,2.2,3.4,3.6,8.1,44.9,47,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 3: Assessment and feedback,119,160,,,,,,,,64.8,67.6,-2.7,4.2,3.6,52.2,37.1,10.7,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 4: Academic support,118,160,,,,,,,,86.9,80.4,6.5,3.3,3.6,0.3,11,88.7,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 5: Organisation and management,119,160,,,,,,,,58,53.5,4.5,4.4,3.6,5.5,27,67.5,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 6: Learning resources,118,160,,,,,,,,83.6,82.9,0.7,3.2,3.6,16.3,54.9,28.9,119,74.4
All modes,All undergraduates,CAH3,CAH01-01-02,Medicine (non-specific),Theme 7: Student voice,118,160,,,,,,,,64.4,64.2,0.2,4.2,3.6,25.9,44.7,29.4,119,74.4
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q01: How good are teaching staff at explaining things?,307.8,439,,78,202.84,23,4,,0.5,91.2,89.5,1.8,1.6,6.8,0.4,67.1,32.5,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q02: How often do teaching staff make the subject engaging?,308.3,439,,50,202.5,50.34,5.5,,0,81.9,77,4.9,2.1,6.8,0,13.3,86.7,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q03: How often is the course intellectually stimulating?,307.3,439,,106.67,164.17,34,2.5,,1,88.1,86.5,1.6,1.9,6.8,1.4,66.6,32.1,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q04: How often does your course challenge you to achieve your best work?,308.3,439,,116.5,139.67,46.67,5.5,,0,83.1,84.1,-1.1,2,6.8,23,73.5,3.5,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,306.3,439,,122,132.67,46.67,5,,2,83.1,80.7,2.4,2.1,6.8,0.9,50.9,48.1,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,308.3,439,,93,162.5,43.34,9.5,,0,82.9,83.3,-0.4,2,6.8,15,78,7,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,308.3,439,,112.67,136.17,54,5.5,,0,80.7,81.8,-1.1,2.1,6.8,25,71,4,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q08: To what extent does your course have the right balance of directed and independent study?,306.3,439,,87.5,133.5,64.34,21,,2,72.1,72.9,-0.8,2.4,6.8,23.6,68.1,8.4,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,306.8,439,,110.5,140.34,47,9,,1.5,81.7,82.5,-0.8,2,6.8,19.4,75.5,5,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q10: How clear were the marking criteria used to assess your work?,307.3,439,,68,142.84,75.5,21,,1,68.6,70.2,-1.6,2.4,6.8,36.1,59.5,4.3,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q11: How fair has the marking and assessment been on your course?,307.3,439,,46,159.17,75.67,26.5,,1,66.8,74.4,-7.7,2.4,6.8,98.3,1.7,0,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q12: How well have assessments allowed you to demonstrate what you have learned?,308.3,439,,48.5,176.67,72.5,10.67,,0,73,74.4,-1.4,2.3,6.8,31.5,63.7,4.8,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q13: How often have you received assessment feedback on time?,308.3,439,,135,135.84,28.5,9,,0,87.8,75.8,12,1.9,6.8,0,0,100,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q14: How often does feedback help you to improve your work?,307.3,439,,67.5,134.5,87.67,17.67,,1,65.7,63.2,2.6,2.5,6.8,2.1,46.7,51.2,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q15: How easy was it to contact teaching staff when you needed to?,307.3,439,,121.84,134,42,9.5,,1,83.2,81.5,1.7,2.2,6.8,2.8,61.4,35.8,359,70.2
All modes,All undergraduates,CAH1,CAH02,Subjects allied to medicine,Q16: How well have teaching staff supported your learning?,307.3,439,,82.5,167,45.34,12.5,,1,81.2,80.7,0.5,2.1,6.8,8.2,74.9,17,359,70.2
