module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name
MBAM905,Economics for Managers,10,1,Masters Modules,management,2019/0,Management
MBAM906,Managing Strategic Resources and Operations,10,1,Masters Modules,management,2019/0,Management
MBAM907,Strategy,10,1,Masters Modules,management,2019/0,Management
MBAM909,Strategic and Responsible Innovation,10,2,Masters Modules,management,2019/0,Management
MBAM912,The Entrepreneurial Mindset,10,2,Masters Modules,management,2019/0,Management
MBAM915,The Entrepreneurial and Intrapreneurial Process: Starting Successful New Ventures,10,2,Masters Modules,management,2019/0,Management
MBAM934,Sustainable Finance,10,3,Masters Modules,management,2019/0,Management
MBAM938,Leading in the 4th Industrial Revolution,10,2,Masters Modules,management,2019/0,Management
MBAM941,Igniting Change in Business,10,2,Masters Modules,management,2019/0,Management
MBAM942,Leading Resilient Organisations,10,3,Masters Modules,management,2019/0,Management
MBAM946,Marketing,10,1,Masters Modules,management,2019/0,Management
MBAM948,Leadership,10,1 and 2,Masters Modules,management,2019/0,Management
MBAM949,Personal Transformations,5,,Masters Modules,management,2019/0,Management
MBAM950,Circular Economy Corporate Challenge,10,2,Masters Modules,management,2019/0,Management
MBAM951,Negotiation,5,2,Masters Modules,management,2019/0,Management
MBAM954,Tackling Global Challenges and Developing an Ethical Perspective,10,1,Masters Modules,management,2019/0,Management
MBAM955,Behavioural Economics in Practice,10,3,Masters Modules,management,2019/0,Management
MBAM956,Responsible Business in Context,10,3,Masters Modules,management,2019/0,Management
ECM1102,Core Engineering 1,30,1,,engineering,2019/0,Engineering
ECM1106,Electronics for Engineers: Core Engineering 2,15,2,,engineering,2019/0,Engineering
ECM1107,Materials and Manufacturing: Core Engineering 2,15,2,,engineering,2019/0,Engineering
ECM1108,Engineering Mechanics: Core Engineering 2,15,2,,engineering,2019/0,Engineering
ECM1110,Engineering Mathematics,30,1 and 2,,engineering,2019/0,Engineering
ECM1111,Entrepreneurship Skills Development 1,15,1 and 2,,engineering,2019/0,Engineering
ECM2102,Management and Management Science,15,1,,engineering,2019/0,Engineering
ECM2103,Introduction to Mechanical Engineering Design,15,2,,engineering,2019/0,Engineering
ECM2105,Control Engineering,15,2,,engineering,2019/0,Engineering
ECM2106,Manufacturing Systems,15,2,,engineering,2019/0,Engineering
ECM2108,Construction Methods and Materials,15,2,,engineering,2019/0,Engineering
ECM2109,Structures,15,2,,engineering,2019/0,Engineering
ECM2110,Geotechnics 1,15,2,,engineering,2019/0,Engineering
