module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name
BEM1015,Marketing and Society,15,2,Stage One Modules,management,2022/3,Management
BEM1019,Fundamentals of Marketing,15,1,Stage One Modules,management,2022/3,Management
BEM1021,Leadership and Teams,15,1,Stage One Modules,management,2022/3,Management
BEM1022,Introduction to Leadership Studies,15,2,Stage One Modules,management,2022/3,Management
BEM1023,Discovering Management,30,1 and 2,Stage One Modules,management,2022/3,Management
BEM1024,Statistics for Business,15,2,Stage One Modules,management,2022/3,Management
BEM1025,Programming for Business Analytics,15,2,Stage One Modules,management,2022/3,Management
BEM1027,The International Business Context,15,1,Stage One Modules,management,2022/3,Management
BEM1028,Introduction to Business and Management,15,2,Stage One Modules,management,2022/3,Management
BEM1029DA,Building Relationships and Communication,15,1,Stage One Modules,management,2022/3,Management
BEM1030DA,Developing Self Awareness,15,1,Stage One Modules,management,2022/3,Management
BEM1031DA,Operational and Financial Management,15,3,Stage One Modules,management,2022/3,Management
BEM1032DA,Project Management,60,3,Stage One Modules,management,2022/3,Management
BEM1033DA,Leading and Selecting a Team,15,1,Stage One Modules,management,2022/3,Management
BEM1034,Introduction to Innovation and Entrepreneurship,15,2,Stage One Modules,management,2022/3,Management
BEP1010,Business and Society,15,1,Stage One Modules,management,2022/3,Management
BEP1020,Business Practice and Analysis,15,1 and 2,Stage One Modules,management,2022/3,Management
BEP1030,Operations Management: A Sustainable Perspective,15,2,Stage One Modules,management,2022/3,Management
BEP1040,Marketing in a Digital Age,15,2,Stage One Modules,management,2022/3,Management
BEP1070,Accounting,15,2,Stage One Modules,management,2022/3,Management
BEP1080,Theory and Practice of Management,15,2,Stage One Modules,management,2022/3,Management
BEP1100,Understanding Work and Organisations,15,1,Stage One Modules,management,2022/3,Management
BEP1120,Introduction to Economics,15,1,Stage One Modules,management,2022/3,Management
BEP1130,Introduction to 'With Industrial Experience',,2,Stage One Modules,management,2022/3,Management
BEP1140,Preparation for WYA With Year Abroad,,"1, 2 and 3",Stage One Modules,management,2022/3,Management
BEP1150,"Environment, Society and Business",30,1 and 2,Stage One Modules,management,2022/3,Management
BEP1160,Business History,15,,Stage One Modules,management,2022/3,Management
BEM2007,Operations Management,15,1,Stage Two Modules,management,2022/3,Management
BEM2012DA,Project Management and Decision Making,30,,Stage Two Modules,management,2022/3,Management
BEM2016,Consumer Behaviour,15,2,Stage Two Modules,management,2022/3,Management
BEM2021,Human Resource Management,15,2,Stage Two Modules,management,2022/3,Management
BEM2025,Marketing Communications: Strategies and Applications,15,1,Stage Two Modules,management,2022/3,Management
BEM2027,Information Systems,15,1,Stage Two Modules,management,2022/3,Management
BEM2031,Introduction to Business Analytics,15,2,Stage Two Modules,management,2022/3,Management
BEM2033,Brands and Branding,15,2,Stage Two Modules,management,2022/3,Management
BEM2034,Digital Technologies and the Future of Work,15,1,Stage Two Modules,management,2022/3,Management
BEM2035,Leading in International Contexts,15,2,Stage Two Modules,management,2022/3,Management
BEM2037,Leadership: Challenges and Practice,15,2,Stage Two Modules,management,2022/3,Management
BEM2039,Business Analytics in Practice,15,1,Stage Two Modules,management,2022/3,Management
BEM2040,Database Technologies for Business Analytics,15,2,Stage Two Modules,management,2022/3,Management
BEM2041,Marketing Analytics,15,2,Stage Two Modules,management,2022/3,Management
BEM2045,History of Black Entrepreneurship,15,2,Stage Two Modules,management,2022/3,Management
BEM2047,Organisational Behaviour,30,1 and 2,Stage Two Modules,management,2022/3,Management
BEM2048,International Business,15,1,Stage Two Modules,management,2022/3,Management
BEP2020,Project Management,15,1,Stage Two Modules,management,2022/3,Management
BEP2030,Business Practice (Placement/Work Experience Project),15,1 and 2,Stage Two Modules,management,2022/3,Management
BEP2040,Strategic Concepts for Business,15,1,Stage Two Modules,management,2022/3,Management
BEP2050,Finance for Business,15,2,Stage Two Modules,management,2022/3,Management
BEP2060,Research Inquiry for Practice,15,2,Stage Two Modules,management,2022/3,Management
BEP2110,Workplace Wellbeing,15,2,Stage Two Modules,management,2022/3,Management
BEP2120,Digital Technologies and the Future of Work,15,1,Stage Two Modules,management,2022/3,Management
BEP2130,Preparation for 'with Year Abroad',,"1, 2 and 3",Stage Two Modules,management,2022/3,Management
BEP2140,Business Analytics,15,2,Stage Two Modules,management,2022/3,Management
BEP2150,Ecological Economics,15,1,Stage Two Modules,management,2022/3,Management
BEP2160,Institutional Economics,15,1,Stage Two Modules,management,2022/3,Management
BEP2180,With Industrial Experience Preparation,,"1, 2 and 3",Stage Two Modules,management,2022/3,Management
BEP2190,Understanding Financial Statements,15,2,Stage Two Modules,management,2022/3,Management
BEP2200,Marketing Analytics,15,1,Stage Two Modules,management,2022/3,Management
BEP2210,Circular Enterprise Economy,15,2,Stage Two Modules,management,2022/3,Management
BUS2004,Business Internships and Placements,15,1,Stage Two Modules,management,2022/3,Management
BEM3017DA,Developing Managerial Behaviours,30,"1, 2 and 3",Stage Three Modules,management,2022/3,Management
BEM3018DA,Organisational Research Project,30,3,Stage Three Modules,management,2022/3,Management
BEM3022,Purchasing and Supply Management,15,1,Stage Three Modules,management,2022/3,Management
BEM3030,International Business History,15,1,Stage Three Modules,management,2022/3,Management
BEM3041,Marketing Management and Strategy,15,2,Stage Three Modules,management,2022/3,Management
BEM3046,Managing Human Resources: Advanced Issues,15,2,Stage Three Modules,management,2022/3,Management
BEM3047,Contemporary Leadership Issues,15,2,Stage Three Modules,management,2022/3,Management
BEM3052,Managing Change and Crisis in Organisations,15,2,Stage Three Modules,management,2022/3,Management
BEM3055,Ethics and Responsible Innovation,15,1,Stage Three Modules,management,2022/3,Management
BEM3056,Business and Climate Change,15,2,Stage Three Modules,management,2022/3,Management
BEM3057,Employment Law for Managers,15,1,Stage Three Modules,management,2022/3,Management
BEM3059,Circular Economy Business and Enterprise,15,2,Stage Three Modules,management,2022/3,Management
BEM3061,Business Ignition - Idea to Implementation,15,2,Stage Three Modules,management,2022/3,Management
BEM3062,Operations Analytics,15,1,Stage Three Modules,management,2022/3,Management
BEM3063,Strategic and HR Analytics,15,2,Stage Three Modules,management,2022/3,Management
BEM3064,Analytics and Visualisation for Managers and Consultants,15,2,Stage Three Modules,management,2022/3,Management
BEM3065,Strategy,15,1,Stage Three Modules,management,2022/3,Management
BEM3066,Marketing Issues and Trends,15,1 and 2,Stage Three Modules,management,2022/3,Management
BEM3067,Innovation for Urgent Global Challenges,15,1,Stage Three Modules,management,2022/3,Management
BEM3069,Strategic Digital Marketing Practice,15,2,Stage Three Modules,management,2022/3,Management
