module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name
ENG1001,"Fundamentals of Mechanics, Materials and Electronics",45,1 and 2,,engineering,2020/1,Engineering
ENG1002,Engineering Mathematics and Scientific Computing,30,,,engineering,2020/1,Engineering
ENG1005,Multi-Disciplinary Group Challenge Project,30,1 and 2,,engineering,2020/1,Engineering
ENG1006,Entrepreneurship 1,15,1,,engineering,2020/1,Engineering
ECM1102,Core Engineering 1,30,1,,engineering,2020/1,Engineering
ECM1106,Electronics for Engineers: Core Engineering 2,15,2,,engineering,2020/1,Engineering
ECM1107,Materials and Manufacturing: Core Engineering 2,15,2,,engineering,2020/1,Engineering
ECM1108,Engineering Mechanics: Core Engineering 2,15,2,,engineering,2020/1,Engineering
ECM1110,Engineering Mathematics,30,1 and 2,,engineering,2020/1,Engineering
ENG2001,Civil Engineering Challenge Project,30,,,engineering,2020/1,Engineering
ENG2003,Electronic Engineering Challenge Project,30,,,engineering,2020/1,Engineering
ENG2004,Entrepreneurship 2,15,2,,engineering,2020/1,Engineering
ENG2005,Entrepreneurship Challenge Project,30,,,engineering,2020/1,Engineering
ENG2006,Industry 4.0,15,,,engineering,2020/1,Engineering
ENG2007,Introduction to Fluid Dynamics,15,,,engineering,2020/1,Engineering
ENG2008,Microcontroller Engineering,15,2,,engineering,2020/1,Engineering
ENG2009,Modelling of Engineering Systems,15,,,engineering,2020/1,Engineering
ENG2010,Soil Mechanics,15,,,engineering,2020/1,Engineering
ENG2011,Solid Mechanics,15,,,engineering,2020/1,Engineering
ENG2012,Structural Behaviour,15,,,engineering,2020/1,Engineering
ENG2013,Sustainable Design Challenge Project,30,,,engineering,2020/1,Engineering
ENG2014,Technology Entrepreneurship,15,,,engineering,2020/1,Engineering
ENG2015,Management Challenge Project,30,,,engineering,2020/1,Engineering
ENG2016,Introduction in Economics and Company Finance,15,,,engineering,2020/1,Engineering
ECM2102,Management and Management Science,15,1,,engineering,2020/1,Engineering
ECM2103,Introduction to Mechanical Engineering Design,15,2,,engineering,2020/1,Engineering
ECM2105,Control Engineering,15,2,,engineering,2020/1,Engineering
ECM2106,Manufacturing Systems,15,2,,engineering,2020/1,Engineering
ECM2108,Construction Methods and Materials,15,2,,engineering,2020/1,Engineering
ECM2109,Structures,15,2,,engineering,2020/1,Engineering
ECM2110,Geotechnics 1,15,2,,engineering,2020/1,Engineering
ECM2111,Mathematical Modelling of Engineering Systems,15,1,,engineering,2020/1,Engineering
ECM2113,Thermofluid Engineering,15,1,,engineering,2020/1,Engineering
ECM2114,Solid Mechanics,15,1,,engineering,2020/1,Engineering
ECM2115,"PICS, Microcontrollers and Microprocessors",15,2,,engineering,2020/1,Engineering
ECM2117,Communication and Networking Technologies,15,2,,engineering,2020/1,Engineering
ECM2118,Analogue and Digital Electronics Design,15,1,,engineering,2020/1,Engineering
ECM2119,Mathematical Modelling and Control Engineering,15,1,,engineering,2020/1,Engineering
ECM2120,Materials Engineering,15,2,,engineering,2020/1,Engineering
ECM2121,Entrepreneurship 2,15,2,,engineering,2020/1,Engineering
ENG3001,Construction Project Management,15,,,engineering,2020/1,Engineering
ENG3002,Decision Making Systems & Decision Theory,15,,,engineering,2020/1,Engineering
ENG3003,Digital Engineering and Building Information Modelling,15,,,engineering,2020/1,Engineering
ENG3004,Engineering Electromagnetics,15,,,engineering,2020/1,Engineering
ENG3005,Fluid Dynamics and CFD,15,,,engineering,2020/1,Engineering
ENG3006,Geotechnical Engineering and Foundation Design,15,,,engineering,2020/1,Engineering
ENG3007,Global Entrepreneurial Marketing,15,,,engineering,2020/1,Engineering
ENG3008,Group Design and Build Project - MEng students,30,,,engineering,2020/1,Engineering
ENG3008A,Mechanical Design and Build: Part 1 - Research,15,,,engineering,2020/1,Engineering
ENG3008B,Mechanical Design and Build: Part 2 - Development,15,,,engineering,2020/1,Engineering
ENG3009,Structures & Finite Element Analysis,15,,,engineering,2020/1,Engineering
ENG3010,Industrial Awareness & Problem Solving,15,,,engineering,2020/1,Engineering
ENG3011,Management and Leadership,15,,,engineering,2020/1,Engineering
ENG3012,Mechatronics,15,,,engineering,2020/1,Engineering
ENG3013,Structural Mechanics and Dynamics,15,,,engineering,2020/1,Engineering
ENG3013A,Civil Design and Build: Part 1 - Research,15,,,engineering,2020/1,Engineering
ENG3013B,Civil Design and Build: Part 2 - Development,15,,,engineering,2020/1,Engineering
ENG3014,Structural Engineering,15,,,engineering,2020/1,Engineering
ENG3015,Structural Dynamics,15,,,engineering,2020/1,Engineering
ENG3016,Thermodynamics and Heat Transfer,15,,,engineering,2020/1,Engineering
ENG3017,Quality Control and Improvement,15,,,engineering,2020/1,Engineering
ENG3018,Control Engineering,15,,,engineering,2020/1,Engineering
ENG3019A,Management Design and Build: Part 1 - Research,15,,,engineering,2020/1,Engineering
ENG3019B,Management Design and Build: Part 2 - Development,15,,,engineering,2020/1,Engineering
ENG3020A,Entrepreneurship Design and Build: Part 1 - Research,15,,,engineering,2020/1,Engineering
ENG3020B,Entrepreneurship Design and Build: Part 2 - Development,15,,,engineering,2020/1,Engineering
ENG3021A,Electronic Design and Build: Part 1 - Research,15,,,engineering,2020/1,Engineering
ENG3021B,Electronic Design and Build: Part 2 - Development,15,,,engineering,2020/1,Engineering
ECM3130,Engineering in Society and Company Finance,15,2,,engineering,2020/1,Engineering
ECM3149,Commercial and Industrial Experience and Individual Project (BEng/MEng),45,"1, 2 and 3",,engineering,2020/1,Engineering
ECM3150,Electromagnetics and Wave Propagation,15,1,,engineering,2020/1,Engineering
ECM3151,Thermofluids and Energy Conversion,15,1,,engineering,2020/1,Engineering
ECM3152,Computational Engineering,15,1,,engineering,2020/1,Engineering
ECM3153,Management of Product Development,15,1,,engineering,2020/1,Engineering
ECM3154,Manufacturing,15,1,,engineering,2020/1,Engineering
ECM3155,Structural Engineering,15,1,,engineering,2020/1,Engineering
ECM3156,Civil Engineering Hydraulics,15,1,,engineering,2020/1,Engineering
ECM3157,Geotechnics 2,15,2,,engineering,2020/1,Engineering
ECM3158,Water Resources and Pollution Control,15,1,,engineering,2020/1,Engineering
ECM3159,Management of Processes and People,15,1,,engineering,2020/1,Engineering
ECM3160,Materials,15,1,,engineering,2020/1,Engineering
ECM3161,Civil Engineering Design Studies,15,2,,engineering,2020/1,Engineering
ECM3162,Electronic Engineering Design Studies,15,2,,engineering,2020/1,Engineering
ECM3163,Mechanical Engineering Design Studies,15,2,,engineering,2020/1,Engineering
ECM3164,Operations Management,15,1,,engineering,2020/1,Engineering
ECM3165,Digital Signal Processing,15,1,,engineering,2020/1,Engineering
ECM3166,Communications Engineering,15,1,,engineering,2020/1,Engineering
ECM3171,Computer Aided Engineering Drawing,15,1,,engineering,2020/1,Engineering
ECM3172,Study Abroad Semester,60,2 and 3,,engineering,2020/1,Engineering
ECM3173,Structural Dynamics,15,1,,engineering,2020/1,Engineering
ECM3174,Year in Industry,120,1,,engineering,2020/1,Engineering
ECM3175,Individual Project,30,"1, 2 and 3",,engineering,2020/1,Engineering
ECM3176,Industrial Awareness and Problem Solving,15,1,,engineering,2020/1,Engineering
ECM3177,Market Research and Business Planning,15,2,,engineering,2020/1,Engineering
ENGM001,Additive Manufacturing,15,,,engineering,2020/1,Engineering
ENGM002,Advanced Communication Systems,15,,,engineering,2020/1,Engineering
ENGM003,Advanced Finite Element Analysis (FEA),15,,,engineering,2020/1,Engineering
ENGM005,Business Start-up Project,90,,,engineering,2020/1,Engineering
ENGM006,Civil Engineering Materials,15,,,engineering,2020/1,Engineering
ENGM008,Design of Reinforced Concrete and Steel Structures,15,,,engineering,2020/1,Engineering
ENGM009,Electric Machines and Power Electronics,15,,,engineering,2020/1,Engineering
ENGM010,Data-Centric Engineering,15,,,engineering,2020/1,Engineering
ENGM011,Entrepreneurship 3,30,,,engineering,2020/1,Engineering
ENGM012,Performance Based Design Under Dynamic Loading,15,,,engineering,2020/1,Engineering
ENGM014,Individual Project - MEng students,45,,,engineering,2020/1,Engineering
ENGM015,MEng Individual Investigative Project,45,,,engineering,2020/1,Engineering
ENGM016,Metamaterials,15,,,engineering,2020/1,Engineering
ENGM017,Composite Materials,15,,,engineering,2020/1,Engineering
ENGM018,Nonlinear Control,15,,,engineering,2020/1,Engineering
ENGM019,Quality Engineering & Management,15,,,engineering,2020/1,Engineering
ENGM020,Robotics and Automation,15,,,engineering,2020/1,Engineering
ENGM021,Smart Production Systems,15,2,,engineering,2020/1,Engineering
ENGM023,Sustainable Manufacturing,15,1,,engineering,2020/1,Engineering
ENGM024,Trauma and Degeneration,15,,,engineering,2020/1,Engineering
ENGM025,Smart Civil Structures,15,,,engineering,2020/1,Engineering
ENGM026,"Design, Innovation & Entrepreneurship",15,2,,engineering,2020/1,Engineering
ENGM027,Engineering Management Science,30,1 and 2,,engineering,2020/1,Engineering
ENGM028,MSc Industrial Placement,60,"1, 2 and 3",,engineering,2020/1,Engineering
ECMM102,Group Project (MEng),60,"1, 2 and 3",,engineering,2020/1,Engineering
ECMM103,Computer Aided Engineering Design,15,1,,engineering,2020/1,Engineering
ECMM107,Mechanics of Materials,15,1,,engineering,2020/1,Engineering
ECMM108,Advanced Structural Engineering,15,2,,engineering,2020/1,Engineering
ECMM109,Advanced Geotechnical Engineering,15,2,,engineering,2020/1,Engineering
ECMM110,Water and Environmental Systems,15,2,,engineering,2020/1,Engineering
ECMM112,Manufacturing Supply Chain Management,15,1,,engineering,2020/1,Engineering
ECMM113,"Agile, Lean and Competitive Enterprise",15,1,,engineering,2020/1,Engineering
ECMM124,Hydroinformatics Tools,15,1,,engineering,2020/1,Engineering
ECMM127,Advanced Materials Engineering,15,1,,engineering,2020/1,Engineering
ECMM128,Management Concepts,15,2,,engineering,2020/1,Engineering
ECMM132,Urban Drainage and Waste Water Management,15,2,,engineering,2020/1,Engineering
ECMM133,Water Supply and Distribution Management,15,1,,engineering,2020/1,Engineering
ECMM134,Environmental Processes,15,1,,engineering,2020/1,Engineering
ECMM136,Systems Analysis in Engineering,15,2,,engineering,2020/1,Engineering
ECMM140,Vibration Engineering,15,1,,engineering,2020/1,Engineering
ECMM141,Multivariable State-Space Control,15,1,,engineering,2020/1,Engineering
ECMM142,Contemporary Advanced Materials Research,15,2,,engineering,2020/1,Engineering
ECMM144,Environmental and Computational Hydraulics,15,1,,engineering,2020/1,Engineering
ECMM145,Computational Hydrology,15,2,,engineering,2020/1,Engineering
ECMM146,Mathematical Modelling of Waste Water Treatment Processes,15,2,,engineering,2020/1,Engineering
ECMM147,Mechatronics: Sensors and Machine Automation,15,1,,engineering,2020/1,Engineering
ECMM148,Advanced CFD,15,1,,engineering,2020/1,Engineering
ECMM149,Linear Systems and Structural Analysis,15,1,,engineering,2020/1,Engineering
ECMM150,Structural Design,15,2,,engineering,2020/1,Engineering
ECMM151,Introduction to Earthquake Engineering,15,2,,engineering,2020/1,Engineering
ECMM153,Conceptual Design of Buildings,15,1,,engineering,2020/1,Engineering
ECMM158,Active and Passive Structural Control,15,2,,engineering,2020/1,Engineering
ECMM159,Structural Health and Performance Monitoring,15,2,,engineering,2020/1,Engineering
ECMM160,Engineering Materials and the Environment,15,2,,engineering,2020/1,Engineering
ECMM162,Water Management in Developing Countries,15,2,,engineering,2020/1,Engineering
ECMM163,Sustainable Engineering,15,2,,engineering,2020/1,Engineering
