module_code,module_title,credits_raw,term_raw,stage,dept_slug,academic_year,dept_name
ENG1002,Engineering Mathematics and Scientific Computing,30,1 and 2,,engineering,2023/4,Engineering
ENG1005,Multi-Disciplinary Group Challenge Project,30,1 and 2,,engineering,2023/4,Engineering
ENG1006,Entrepreneurship 1,15,1,,engineering,2023/4,Engineering
ENG1007,Fundamentals of Mechanics,15,1 and 2,,engineering,2023/4,Engineering
ENG1008,Fundamentals of Materials,15,1 and 2,,engineering,2023/4,Engineering
ENG1009,Fundamentals of Electronics,15,1 and 2,,engineering,2023/4,Engineering
ENG1200DA,Core Engineering,30,1 and 2,,engineering,2023/4,Engineering
ENG1201DA,Mathematics for Engineers,15,1 and 2,,engineering,2023/4,Engineering
ENG1202DA,Basic Mechanics,15,2,,engineering,2023/4,Engineering
ENG1203DA,Professional Studies and Skills Development A,15,1 and 2,,engineering,2023/4,Engineering
ENG1204DA,Materials,15,2,,engineering,2023/4,Engineering
ENG1205DA,Advanced Mathematics for Engineers,15,1 and 2,,engineering,2023/4,Engineering
ENG1206DA,Professional Studies and Skills Development B,15,1 and 2,,engineering,2023/4,Engineering
ENG2001,Civil Engineering Challenge Project,30,1 and 2,,engineering,2023/4,Engineering
ENG2003,Electronic Engineering Challenge Project,30,1 and 2,,engineering,2023/4,Engineering
ENG2004,Entrepreneurship 2,15,2,,engineering,2023/4,Engineering
ENG2005,Entrepreneurship Challenge Project,30,1 and 2,,engineering,2023/4,Engineering
ENG2006,Industry 4.0,15,2,,engineering,2023/4,Engineering
ENG2007,Introduction to Fluid Dynamics,15,1,,engineering,2023/4,Engineering
ENG2008,Microcontroller Engineering,15,2,,engineering,2023/4,Engineering
ENG2009,Modelling of Engineering Systems,15,1,,engineering,2023/4,Engineering
ENG2010,Soil Mechanics,15,1,,engineering,2023/4,Engineering
ENG2011,Solid Mechanics,15,1,,engineering,2023/4,Engineering
ENG2012,Structural Behaviour,15,2,,engineering,2023/4,Engineering
ENG2013,Sustainable Design Challenge Project,30,1 and 2,,engineering,2023/4,Engineering
ENG2014,Technology Entrepreneurship,15,2,,engineering,2023/4,Engineering
ENG2015,Management Challenge Project,30,1 and 2,,engineering,2023/4,Engineering
ENG2016,Introduction in Economics and Company Finance,15,1,,engineering,2023/4,Engineering
ENG2017,Communication and Networking Technologies,15,1,,engineering,2023/4,Engineering
ENG2118,Analogue and Digital Electronics Design,15,1,,engineering,2023/4,Engineering
ENG2200DA,Structural Materials,15,1,,engineering,2023/4,Engineering
ENG2201DA,Mechanics,15,1,,engineering,2023/4,Engineering
ENG2202DA,Structures,15,2,,engineering,2023/4,Engineering
ENG2203DA,Geotechnics 1,15,1,,engineering,2023/4,Engineering
ENG2204DA,Construction Site Management,15,1 and 2,,engineering,2023/4,Engineering
ENG2206DA,BIM and Temporary Works,15,1,,engineering,2023/4,Engineering
ENG2207DA,Project Management,15,2,,engineering,2023/4,Engineering
ENG2208DA,Sustainable Development,15,2,,engineering,2023/4,Engineering
ENG2209DA,Structural Concrete,15,2,,engineering,2023/4,Engineering
ECM2106,Manufacturing Systems,15,2,,engineering,2023/4,Engineering
ENG3001,Construction Project Management,15,2,,engineering,2023/4,Engineering
ENG3002,Decision Making Systems & Decision Theory,15,2,,engineering,2023/4,Engineering
ENG3003,Digital Engineering and Building Information Modelling,15,1,,engineering,2023/4,Engineering
ENG3004,Engineering Electromagnetics,15,1,,engineering,2023/4,Engineering
ENG3005,Fluid Dynamics and CFD,15,1,,engineering,2023/4,Engineering
ENG3006,Geotechnical Engineering and Foundation Design,15,2,,engineering,2023/4,Engineering
ENG3007,Global Entrepreneurial Marketing,15,2,,engineering,2023/4,Engineering
ENG3008A,Mechanical Design and Build: Part 1 - Research,15,1,,engineering,2023/4,Engineering
ENG3008B,Mechanical Design and Build: Part 2 - Development,15,2,,engineering,2023/4,Engineering
ENG3010,Industrial Awareness & Problem Solving,15,2,,engineering,2023/4,Engineering
ENG3011,Management and Leadership,15,2,,engineering,2023/4,Engineering
ENG3012,Mechatronics,15,1,,engineering,2023/4,Engineering
ENG3013A,Civil Design and Build: Part 1 - Research,15,1,,engineering,2023/4,Engineering
ENG3013B,Civil Design and Build: Part 2 - Development,15,2,,engineering,2023/4,Engineering
ENG3014,Structural Engineering,15,1,,engineering,2023/4,Engineering
ENG3015,Structural Dynamics,15,2,,engineering,2023/4,Engineering
ENG3016,Thermodynamics and Heat Transfer,15,2,,engineering,2023/4,Engineering
ENG3017,Quality Control and Improvement,15,1,,engineering,2023/4,Engineering
ENG3018,Control Engineering,15,2,,engineering,2023/4,Engineering
ENG3019A,Management Design and Build: Part 1 - Research,15,1,,engineering,2023/4,Engineering
ENG3019B,Management Design and Build: Part 2 - Development,15,2,,engineering,2023/4,Engineering
ENG3020A,Entrepreneurship Design and Build: Part 1 - Research,15,1,,engineering,2023/4,Engineering
ENG3020B,Entrepreneurship Design and Build: Part 2 - Development,15,2,,engineering,2023/4,Engineering
ENG3021A,Electronic Design and Build: Part 1 - Research,15,1,,engineering,2023/4,Engineering
ENG3021B,Electronic Design and Build: Part 2 - Development,15,2,,engineering,2023/4,Engineering
ENG3022,Finite Element Analysis for High Value Manufacturing,15,1,,engineering,2023/4,Engineering
ENG3201DA,Structural Engineering,15,1 and 2,,engineering,2023/4,Engineering
ENG3202DA,Geotechnics 2,15,1,,engineering,2023/4,Engineering
ENG3203DA,Civil Engineering Design Studies,15,1 and 2,,engineering,2023/4,Engineering
ENG3204DA,Individual Project,30,"1, 2 and 3",,engineering,2023/4,Engineering
ENG3206DA,Conceptual Design of Buildings,30,1 and 2,,engineering,2023/4,Engineering
ENG3207DA,Practical Hydraulic Engineering,15,1,,engineering,2023/4,Engineering
ENG3211DA,Accounting and Company Finance,15,1,,engineering,2023/4,Engineering
ECM3153,Management of Product Development,15,1,,engineering,2023/4,Engineering
ECM3156,Civil Engineering Hydraulics,15,1,,engineering,2023/4,Engineering
ECM3158,Water Resources and Pollution Control,15,1,,engineering,2023/4,Engineering
ECM3160,Materials,15,1,,engineering,2023/4,Engineering
ECM3164,Operations Management,15,1,,engineering,2023/4,Engineering
ECM3165,Digital Signal Processing,15,2,,engineering,2023/4,Engineering
ECM3166,Communications Engineering,15,1,,engineering,2023/4,Engineering
ECM3172,Study Abroad Semester,60,2 and 3,,engineering,2023/4,Engineering
ECM3174,Year in Industry,120,1,,engineering,2023/4,Engineering
ECM3175,Individual Project,30,"1, 2 and 3",,engineering,2023/4,Engineering
ENGM001,Additive Manufacturing,15,,,engineering,2023/4,Engineering
ENGM002,Advanced Communication Systems,15,1,,engineering,2023/4,Engineering
ENGM003,Advanced Finite Element Analysis (FEA),15,1,,engineering,2023/4,Engineering
ENGM005,Business Start-up Project,90,,,engineering,2023/4,Engineering
ENGM006,Civil Engineering Materials,15,1,,engineering,2023/4,Engineering
ENGM008,Design of Reinforced Concrete and Steel Structures,15,,,engineering,2023/4,Engineering
ENGM009,Electric Machines and Power Electronics,15,1,,engineering,2023/4,Engineering
ENGM010,Data-Centric Engineering,15,2,,engineering,2023/4,Engineering
ENGM011,Entrepreneurship 3,30,1 and 2,,engineering,2023/4,Engineering
ENGM012,Performance Based Design Under Dynamic Loading,30,1,,engineering,2023/4,Engineering
ENGM015,MEng Individual Investigative Project,45,1 and 2,,engineering,2023/4,Engineering
ENGM016,Metamaterials,15,,,engineering,2023/4,Engineering
ENGM017,Composite Materials,15,,,engineering,2023/4,Engineering
ENGM018,Nonlinear Control,15,2,,engineering,2023/4,Engineering
ENGM020,Robotics and Automation,15,2,,engineering,2023/4,Engineering
ENGM021,Smart Production Systems,15,2,,engineering,2023/4,Engineering
ENGM023,Sustainable Manufacturing,15,1,,engineering,2023/4,Engineering
ENGM025,Smart Civil Structures,15,2 and 3,,engineering,2023/4,Engineering
ENGM026,"Design, Innovation & Entrepreneurship",15,1,,engineering,2023/4,Engineering
ENGM028,MSc Industrial Placement,60,"1, 2 and 3",,engineering,2023/4,Engineering
