nss_year,subject_code,subject,nss_academic_support,nss_assessment_feedback,nss_free_expression,nss_learning_opps,nss_learning_resources,nss_organisation,nss_student_voice,nss_teaching
2023,CAH01-01,Medicine and dentistry,76.54378531073446,72.37777777777778,81.0,80.39071729957806,85.03103448275861,65.34957746478872,57.762874251497,87.80000000000001
2023,CAH02-04,Nursing and midwifery,63.333333333333336,61.0,80.0,70.0,80.0,30.0,43.85263157894737,73.75
2023,CAH02-05,Medical sciences,76.1,74.92617405582924,72.8,79.07067199344397,86.43630289532294,78.52355052457206,66.93196803196803,86.01929896484575
2023,CAH03-01,Biosciences,79.8923823109843,77.56222855514392,71.27849430989204,80.86521553563807,88.56691897137313,87.50701168614357,70.58504015068901,90.30816937553465
2023,CAH03-02,Sport and exercise sciences,80.93333333333334,77.097933227345,73.4,81.55,87.60862533692722,88.70483870967742,79.73643835616438,89.06123260437376
2023,CAH04-01,Psychology,76.2941251596424,72.93570336391439,68.572265625,78.94393505253105,87.81781914893617,84.40969455511288,67.08056112224449,85.82903533906399
2023,CAH07-01,Physics and astronomy,85.5357894736842,82.90806577916993,73.5776,88.6673828125,88.5627659574468,87.28999999999999,68.81636363636363,94.03098039215686
2023,CAH07-04,"General, applied and forensic sciences",83.82121212121213,87.88727272727273,90.6375,90.91818181818182,90.9121212121212,98.95104166666665,76.30412371134021,93.93181818181819
2023,CAH09-01,Mathematical sciences,75.52536491983729,73.66620886981401,72.15168374816984,78.62680042995342,84.323292773777,81.18460975609754,60.14053779807205,83.52891824348447
2023,CAH10-01,Engineering,75.45230061349692,78.59595588235294,74.26039603960396,82.91880733944954,82.83401574803149,81.89578783151326,63.15016233766234,88.5187141216992
2023,CAH11-01,Computing,76.94507692307693,77.06924493554328,75.03076923076922,81.49586206896552,88.22340425531915,83.09217527386542,70.05772357723578,85.68325688073395
2023,CAH15-01,"Sociology, social policy and anthropology",75.06666666666666,72.014489571899,60.0,77.725,88.63121387283236,80.87565055762083,62.359266409266404,84.975
2023,CAH15-02,Economics,71.3550799086758,75.18319047619048,74.9,80.85061707379352,86.92246182538756,83.9590169649082,67.92510490348879,84.85
2023,CAH15-03,Politics,74.33694393447253,74.04302876480541,69.1,78.60185146000846,86.32004946893643,80.22166931867497,58.83868108757699,86.18362159881882
2023,CAH16-01,Law,72.10360500048454,75.3784281999422,69.0,76.74706988858341,86.02421573478476,79.45616017444742,61.42320375736984,86.99668396770473
2023,CAH17-01,Business and management,78.70144332316357,79.09947322212467,81.6,84.04806848112379,89.96287685080573,88.37491856677524,76.87293251384409,83.72949561403509
2023,CAH19-01,English studies,84.25855115758029,81.93448275862069,58.9,81.95,88.00580945003873,84.37838258164851,66.99520062942564,93.1
2023,CAH19-04,Languages and area studies,89.08894289185905,78.6090510948905,68.3,81.83163172288059,87.49634300126104,80.65299251870324,69.1404609475032,90.825
2023,CAH20-01,History and archaeology,83.54222445898338,78.96127864897467,66.6,79.4928679245283,88.57272727272728,81.72689938398358,66.39554039874082,91.175
2023,CAH20-02,Philosophy and religious studies,78.2880239520958,76.67156293222683,69.5,76.75,88.33315559864273,82.12746679316888,63.410919540229884,90.725
2023,CAH23-01,Combined and general studies,76.77423469387755,75.53669724770643,66.4,80.64961685823755,92.20428954423592,83.0106100795756,65.92637362637363,87.54971319311663
2023,CAH24-01,"Media, journalism and communications",79.33333333333333,80.76,61.800000000000004,83.225,87.53776824034334,83.27639484978542,63.75327510917031,94.275
2023,CAH25-02,Performing arts,74.06666666666668,73.92813036020583,49.5,72.85000000000001,80.59478260869564,77.24256559766764,53.57218934911243,83.75
2023,CAH26-01,"Geography, earth and environmental studies",74.51624441132638,72.39982118909253,74.3,79.225,90.21927413127412,82.29905588548804,63.67801341026041,85.47500000000001
