dept_code,academic_year,faculty,n_modules,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items
ANT,2019/0,HASS,19.0,85.5,14.5,0.0,30.8,25.1,0.1637874720357942,1.35,1.7
ANT,2020/1,HASS,24.0,84.4,11.6,4.0,28.32,28.72,0.18862997762863537,1.36,1.76
ANT,2021/2,HASS,26.0,90.0,6.296296296296297,3.7037037037037037,28.444444444444443,28.22222222222222,0.1855215842240451,1.1851851851851851,1.8518518518518519
ANT,2022/3,HASS,34.0,92.85714285714286,1.4285714285714286,5.714285714285714,29.485714285714284,25.885714285714286,0.17047619047619048,1.1428571428571428,1.8285714285714285
ANT,2024/5,HASS,38.0,95.71428571428571,1.9047619047619047,2.380952380952381,34.095238095238095,28.904761904761905,0.16825396825396827,1.0952380952380953,1.9047619047619047
ARC,2019/0,HASS,25.0,77.66666666666667,12.0,10.333333333333334,27.896551724137932,32.3,0.16095451155853843,1.4666666666666666,2.066666666666667
ARC,2020/1,HASS,32.0,76.92307692307692,16.41025641025641,6.666666666666667,24.57894736842105,29.076923076923077,0.1516050020076866,1.4615384615384615,2.051282051282051
ARC,2021/2,HASS,35.0,73.75,17.75,8.5,25.86111111111111,29.85,0.15852460850111855,1.5,2.05
ARC,2022/3,HASS,33.0,80.75,12.75,6.5,24.205128205128204,29.45,0.15514821029082776,1.375,2.05
ARC,2023/4,HASS,38.0,79.33333333333333,10.666666666666666,10.0,24.476190476190474,27.511111111111113,0.14676261496395726,1.4222222222222223,2.0444444444444443
ARC,2024/5,HASS,36.0,79.06976744186046,11.627906976744185,9.30232558139535,25.904761904761905,27.72093023255814,0.14333333333333334,1.372093023255814,1.9767441860465116
BEE,2020/1,ESE,53.0,28.879310344827587,65.60344827586206,5.517241379310345,188.58490566037736,29.74137931034483,0.17458949096880128,1.6206896551724137,2.7758620689655173
BEE,2021/2,ESE,55.0,30.5,64.33333333333333,5.166666666666667,191.1818181818182,29.683333333333334,0.17499206349206342,1.6333333333333333,2.7333333333333334
BEE,2022/3,ESE,55.0,30.333333333333332,64.58333333333333,5.083333333333333,193.0,29.766666666666666,0.17554761904761898,1.6166666666666667,2.716666666666667
BEE,2023/4,ESE,54.0,32.52542372881356,61.88135593220339,5.593220338983051,185.54545454545453,30.54237288135593,0.17999192897497973,1.6440677966101696,2.542372881355932
