nss_subject,academic_year,nss_year,faculty,dept_codes_included,n_modules_total,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items,subject_code,nss_academic_support,nss_assessment_feedback,nss_free_expression,nss_learning_opps,nss_learning_resources,nss_organisation,nss_student_voice,nss_teaching
Biosciences,2019/0,2020,ESE,BIO,51.0,56.6865671641791,35.28358208955224,8.029850746268657,93.65671641791045,33.63681592039801,0.1796019900497512,1.7164179104477615,2.194029850746269,,,,,,,,,
Biosciences,2020/1,2021,ESE,BIO,50.0,58.75757575757576,32.93939393939394,8.303030303030303,95.06060606060606,33.55555555555556,0.17838383838383842,1.7121212121212122,2.1818181818181817,,,,,,,,,
Biosciences,2021/2,2022,ESE,BIO,51.0,55.88333333333334,37.06666666666667,7.05,104.63333333333334,37.87777777777778,0.2026666666666666,1.8,2.316666666666667,,,,,,,,,
Biosciences,2022/3,2023,ESE,BIO,55.0,57.85915492957746,31.88732394366197,10.253521126760564,99.38028169014083,35.262910798122064,0.1796244131455399,1.8309859154929575,2.352112676056338,CAH03-01,79.8923823109843,77.56222855514392,71.27849430989204,80.86521553563807,88.56691897137313,87.50701168614357,70.58504015068901,90.30816937553465
Biosciences,2023/4,2024,ESE,BIO,56.0,58.72222222222222,30.61111111111111,10.666666666666666,95.63888888888889,35.68981481481482,0.18324074074074068,1.805555555555556,2.3472222222222223,CAH03-01,79.4950755206006,74.49843357391072,69.83952590959207,82.8169382847983,85.0753527579256,84.04271071657362,65.8251441119956,90.38083812324555
Biosciences,2024/5,2025,ESE,BIO,53.0,70.54285714285714,21.128571428571426,8.32857142857143,98.44285714285714,35.82857142857143,0.1813333333333333,1.5714285714285712,2.271428571428572,CAH03-01,79.40238198354267,74.9273812613548,74.32727272727273,80.68820969208782,87.48382326899238,80.68633733867378,66.8596557288865,87.26202153886076
Business and management,2021/2,2022,ESE,"BEM,BEP",90.0,81.78893442622952,11.849316939890711,6.361748633879781,105.36775862068966,51.85799939283547,0.23862963597826983,1.3454918032786884,2.086056466302368,,,,,,,,,
Business and management,2022/3,2023,ESE,"BEM,BEP",92.0,82.42753623188405,11.544513457556935,6.027950310559006,123.91497108588561,30.201006639537376,0.16424531572688636,1.3406832298136644,2.012215320910973,CAH17-01,78.70144332316357,79.09947322212467,81.6,84.04806848112379,89.96287685080573,88.37491856677524,76.87293251384409,83.72949561403509
Business and management,2024/5,2025,ESE,"BEM,BEP",136.0,87.68304399123545,8.334569357829093,3.9823866509354455,92.86427187514812,35.151236824209455,0.17763800839362331,1.2019298837013315,1.8868761416903168,CAH17-01,78.86353021978023,81.7810003732736,84.8,81.72291180587962,87.76341247789847,86.48211464324085,74.12965360958239,84.4
Computing,2019/0,2020,ESE,ECM,47.0,57.225806451612904,38.14516129032258,4.629032258064516,75.8225806451613,40.62903225806452,0.3605927906058717,1.7903225806451613,3.254237288135593,,,,,,,,,
