module_code,academic_year,dept_slug,dept_name,stage,credits_raw,term_raw,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning,origin_date,last_revision_date,fetch_ok
ECM3162,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM3163,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECM3164,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3165,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3166,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3171,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3172,2019/0,engineering,Engineering,,60.0,2 and 3,,,,,,,,,,,,,,,True
ECM3173,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECM3174,2019/0,engineering,Engineering,,120.0,1,,,,,,,,,,,,,,,True
ECM3175,2019/0,engineering,Engineering,,30.0,"1, 2 and 3",,,,,,,,,,,,,,,True
ENGM026,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM102,2019/0,engineering,Engineering,,60.0,"1, 2 and 3",,,,,,,,,,,,,,,True
ECMM103,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM107,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM108,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM109,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM110,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM112,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM113,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM124,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM127,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM128,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM132,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM133,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM134,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM136,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM140,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM141,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM142,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM144,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM145,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM146,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM147,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM148,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM149,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM150,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM151,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM153,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM158,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM159,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM160,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM162,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM163,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM164,2019/0,engineering,Engineering,,60.0,2 and 3,,,,,,,,,,,,,,,True
ECMM168,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM171,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
ECMM172,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM178,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
ECMM179,2019/0,engineering,Engineering,,15.0,2,,,,,,,,,,,,,,,True
EMP3001,2019/0,engineering,Engineering,,15.0,1,,,,,,,,,,,,,,,True
EMP3003,2019/0,engineering,Engineering,,45.0,1 and 2,,,,,,,,,,,,,,,True
EDU2016,2019/0,education,Education,Stage Two Modules,15.0,1 and 2,Learning for Teaching: School Experience,15,20,24,96,30,100,0,0,1,5,No,21/05/2013,17/12/16,True
EDU2017,2019/0,education,Education,Stage Two Modules,30.0,1 and 2,Learning for Teaching: School Experience,30,20,24,216,60,100,0,0,1,5,No,21/05/2013,17/12/16,True
EDU3013,2019/0,education,Education,Stage Three Modules,15.0,1 and 2,Learning for Teaching: School Experience,15,20,24,96,30,100,0,0,1,6,No,21/05/2013,17/12/16,True
EDU3014,2019/0,education,Education,Stage Three Modules,30.0,1 and 2,Learning for Teaching: School Experience,30,20,24,216,60,100,0,0,1,6,No,21/05/2013,17/12/16,True
EDUM030,2019/0,education,Education,Masters Modules,,"1, 2 and 3",Professional Learning (School Direct),,30,600,0,600,100,0,0,1,6,No,01/05/2013,,True
EDUM033,2019/0,education,Education,Masters Modules,,"1, 2 and 3",Primary Curriculum Studies,,130,164,136,0,100,0,0,1,6,No,02/05/2013,09/07/2018,True
EDUM034,2019/0,education,Education,Masters Modules,,"1, 2 and 3",Primary Professional Learning,,130,0,300,600,100,0,0,1,6,No,01/05/2013,12/06/2018,True
EDUM036,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Education and Professional Studies,30,200,99,201,0,100,0,0,1,7,No,28/04/2013,09/07/2018,True
EDUM037,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Biology Subject Knowledge and Pedagogy,30,15,101,199,0,100,0,0,1,7,No,26/04/2013,09/07/2018,True
EDUM038,2019/0,education,Education,Masters Modules,30.0,"1, 2 and 3",Secondary Biology with Psychology Subject Knowledge and Pedagogy,30,10,101,199,0,100,0,0,1,7,No,26/04/2013,09/07/2018,True
